* Measurement data measured by REW V5.31.3
* Source: C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_cleaned.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Jun 2, 2026 4:49:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\aevum\Desktop\Civilizational Blueprint\lossless microphone\analysis\3_cleaned.wav 459776 samples (9.58 s) of 32-bit PCM data at 48 kHz
* Measurement: Ch1 3_cleaned
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
192.993148 127.708 -97.4707
193.359359 128.226 -110.9893
193.725570 128.356 -124.5732
194.091781 128.041 -138.2051
194.457992 127.190 -151.6465
194.824203 125.668 -164.1416
195.190414 123.324 -173.7441
195.556625 120.202 -175.7705
195.922836 117.622 -163.8174
196.289047 117.871 -150.0527
196.655257 119.136 -151.2568
197.021468 119.626 -161.6699
197.387679 119.244 -173.8750
197.753890 118.586 177.7480
198.120101 118.964 174.4805
198.486312 121.045 168.0039
198.852523 123.728 153.1201
199.218734 126.069 132.5605
199.584945 127.744 109.3975
199.951156 128.644 85.2627
200.317367 128.689 60.9355
200.683577 127.750 36.8848
201.049788 125.562 13.6807
201.415999 121.457 -7.0029
201.782210 113.066 -13.5137
202.148421 111.021 76.2559
202.514632 118.069 73.7881
202.880843 120.408 54.1299
203.247054 120.748 32.6904
203.613265 119.963 12.7158
203.979476 118.754 -3.0498
204.345687 118.113 -13.4971
204.711897 118.744 -23.0410
205.078108 120.082 -36.4727
205.444319 121.209 -52.8174
205.810530 121.638 -68.8154
206.176741 121.241 -80.9033
206.542952 120.370 -84.9277
206.909163 120.261 -80.3564
207.275374 121.604 -77.8350
207.641585 123.109 -84.3516
208.007796 123.747 -97.1904
208.374007 123.144 -112.8848
208.740217 120.960 -128.7002
209.106428 116.360 -139.5869
209.472639 108.126 -112.6279
209.838850 112.511 -55.6543
210.205061 116.530 -62.3262
210.571272 117.443 -79.2148
210.937483 116.350 -98.1396
211.303694 113.650 -116.1035
211.669905 110.087 -128.8965
212.036116 108.443 -135.7021
212.402326 110.766 -152.1738
212.768537 114.509 -177.9346
213.134748 117.667 155.9033
213.500959 119.604 131.3975
213.867170 120.116 108.5391
214.233381 118.894 87.6826
214.599592 114.902 71.9131
214.965803 104.768 105.0127
215.332014 114.007 170.9805
215.698225 119.487 157.8223
216.064436 121.731 137.6260
216.430646 122.074 114.9316
216.796857 120.776 89.5596
217.163068 117.659 58.2559
217.529279 112.840 7.8359
217.895490 112.051 -68.8535
218.261701 114.718 -115.3213
218.627912 115.268 -140.6855
218.994123 113.377 -152.3301
219.360334 110.259 -135.8496
219.726545 112.880 -104.7070
220.092756 116.995 -105.5420
220.458966 119.365 -119.7676
220.825177 120.400 -139.4160
221.191388 120.545 -163.3115
221.557599 120.264 167.8691
221.923810 120.179 134.1729
222.290021 120.767 98.8906
222.656232 121.789 66.2598
223.022443 122.617 37.1416
223.388654 122.767 9.9482
223.754865 121.892 -17.6699
224.121076 119.606 -49.8018
224.487286 115.876 -98.6221
224.853497 115.623 -174.3467
225.219708 119.570 135.0605
225.585919 122.120 105.0918
225.952130 123.012 83.2070
226.318341 122.494 67.2959
226.684552 120.783 59.9111
227.050763 118.894 66.9414
227.416974 119.267 82.3594
227.783185 121.219 86.7139
228.149396 122.670 81.2930
228.515606 123.265 72.5400
228.881817 123.260 63.8184
229.248028 123.082 55.9951
229.614239 123.110 47.4209
229.980450 123.403 35.2178
230.346661 123.767 17.8076
230.712872 124.053 -4.5049
231.079083 124.240 -30.3584
231.445294 124.340 -57.9834
231.811505 124.306 -85.7217
232.177716 124.043 -112.4082
232.543926 123.469 -137.3359
232.910137 122.575 -159.8877
233.276348 121.501 -179.1836
233.642559 120.633 165.6338
234.008770 120.567 153.6445
234.374981 121.577 141.0684
234.741192 123.253 124.9463
235.107403 125.014 105.4639
235.473614 126.491 83.9395
235.839825 127.485 61.3447
236.206035 127.868 38.1436
236.572246 127.513 14.4463
236.938457 126.225 -9.9229
237.304668 123.600 -35.6270
237.670879 118.478 -65.5537
238.037090 106.078 -144.4590
238.403301 116.214 93.6826
238.769512 121.666 59.3760
239.135723 124.208 29.3604
239.501934 125.496 -0.8350
239.868145 126.186 -31.8799
240.234355 126.667 -63.1973
240.600566 127.144 -93.4443
240.966777 127.635 -121.3477
241.332988 128.059 -146.4180
241.699199 128.330 -168.9561
242.065410 128.387 170.3135
242.431621 128.176 150.5791
242.797832 127.632 131.1455
243.164043 126.683 111.5381
243.530254 125.250 91.5195
243.896465 123.260 71.1162
244.262675 120.652 50.7676
244.628886 117.421 31.8545
244.995097 113.796 17.9834
245.361308 110.963 14.7070
245.727519 111.032 16.0781
246.093730 113.141 7.8350
246.459941 115.427 -7.7842
246.826152 117.396 -25.6445
247.192363 119.078 -43.6875
247.558574 120.604 -61.6299
247.924785 122.076 -79.8848
248.290995 123.529 -98.8984
248.657206 124.931 -118.7793
249.023417 126.213 -139.2705
249.389628 127.296 -159.9248
249.755839 128.102 179.7236
250.122050 128.557 160.0977
250.488261 128.594 141.6162
250.854472 128.149 124.8164
251.220683 127.171 110.5928
251.586894 125.668 100.5830
251.953105 123.900 97.4404
252.319315 122.755 102.3779
252.685526 123.133 108.5117
253.051737 124.377 107.4932
253.417948 125.497 99.4805
253.784159 126.183 87.2490
254.150370 126.471 72.6279
254.516581 126.517 56.4951
254.882792 126.516 39.1367
255.249003 126.636 20.5410
255.615214 126.954 0.7227
255.981425 127.410 -20.0557
256.347635 127.834 -41.3164
256.713846 128.010 -62.5273
257.080057 127.712 -83.1289
257.446268 126.699 -102.2812
257.812479 124.668 -118.0596
258.178690 121.291 -124.4180
258.544901 118.149 -104.9756
258.911112 120.667 -81.9551
259.277323 124.087 -86.7920
259.643534 126.100 -103.0791
260.009744 126.946 -123.6914
260.375955 126.871 -146.3828
260.742166 126.012 -170.0879
261.108377 124.425 166.2070
261.474588 122.096 144.2734
261.840799 118.967 128.1289
262.207010 115.556 127.0303
262.573221 115.088 142.7432
262.939432 117.805 145.6211
263.305643 120.272 134.4678
263.671854 121.848 117.9521
264.038064 122.635 99.1572
264.404275 122.725 78.5527
264.770486 122.150 55.3555
265.136697 120.945 27.7080
265.502908 119.361 -7.3018
265.869119 118.262 -50.8027
266.235330 118.386 -95.4131
266.601541 118.768 -133.0342
266.967752 117.971 -164.2520
267.333963 114.333 167.6172
267.700174 94.353 112.5547
268.066384 115.340 -54.6182
268.432595 122.014 -78.5791
268.798806 125.393 -100.5781
269.165017 127.109 -121.3164
269.531228 127.617 -140.4961
269.897439 127.078 -157.1270
270.263650 125.603 -168.9629
270.629861 123.653 -171.8428
270.996072 122.776 -165.0039
271.362283 123.843 -161.9619
271.728494 125.240 -170.5371
272.094704 125.935 172.9980
272.460915 125.731 152.1309
272.827126 124.573 128.8057
273.193337 122.278 104.7002
