Frequency (Hz)	Level (dB)
10781.250000	-61.699509
10828.125000	-62.721798
10875.000000	-62.484154
10921.875000	-61.906322
10968.750000	-61.813675
11015.625000	-62.468262
11062.500000	-61.803753
11109.375000	-61.837410
11156.250000	-62.553410
11203.125000	-61.987614
11250.000000	-61.802216
11296.875000	-61.393288
11343.750000	-61.179668
11390.625000	-61.525063
11437.500000	-61.868744
11484.375000	-62.064152
11531.250000	-62.327602
11578.125000	-61.808571
11625.000000	-62.158447
11671.875000	-62.131607
11718.750000	-61.696987
11765.625000	-62.116844
11812.500000	-62.168327
11859.375000	-61.949509
11906.250000	-61.841869
11953.125000	-61.439602
12000.000000	-61.259586
12046.875000	-61.599854
12093.750000	-61.823788
12140.625000	-61.809933
12187.500000	-61.559750
12234.375000	-61.471298
12281.250000	-61.965210
12328.125000	-61.814472
12375.000000	-61.566227
12421.875000	-61.747974
12468.750000	-61.550640
12515.625000	-61.624165
12562.500000	-61.774860
12609.375000	-61.648842
12656.250000	-62.105347
12703.125000	-62.153667
12750.000000	-62.064400
12796.875000	-61.717918
12843.750000	-61.788692
12890.625000	-62.173737
12937.500000	-62.068382
12984.375000	-59.589836
13031.250000	-57.482044
13078.125000	-61.169979
13125.000000	-61.625122
13171.875000	-61.190781
13218.750000	-61.210323
13265.625000	-62.170647
13312.500000	-61.696651
13359.375000	-61.654869
13406.250000	-61.585987
13453.125000	-61.259823
13500.000000	-61.822823
13546.875000	-62.193150
13593.750000	-62.119987
13640.625000	-61.896946
13687.500000	-62.033577
13734.375000	-62.100479
13781.250000	-62.198772
13828.125000	-62.236980
13875.000000	-61.634548
13921.875000	-61.881832
13968.750000	-61.990585
14015.625000	-62.152180
14062.500000	-62.672531
14109.375000	-61.970905
14156.250000	-61.828342
14203.125000	-62.422195
14250.000000	-62.253849
14296.875000	-61.821205
14343.750000	-61.650009
14390.625000	-62.116032
14437.500000	-61.966488
14484.375000	-61.976364
14531.250000	-62.266727
14578.125000	-62.647751
14625.000000	-62.384724
14671.875000	-61.871082
14718.750000	-61.636387
14765.625000	-61.770763
14812.500000	-62.073696
14859.375000	-61.998585
14906.250000	-62.260242
14953.125000	-62.314449
15000.000000	-62.132923
15046.875000	-61.689568
15093.750000	-61.780327
15140.625000	-61.580284
15187.500000	-62.018654
15234.375000	-61.780983
15281.250000	-61.441975
15328.125000	-61.338306
15375.000000	-61.814453
15421.875000	-61.502224
15468.750000	-61.582291
15515.625000	-61.712635
15562.500000	-61.914650
